emoji,CLRDname,Index,count,first,last,posnetneg,total,unicodeorgmediumclass,unicodeorgbigclass,unicodeyear,userunknown,UnicodeAbstraction
\U0001f6ac,:cigarette:,2145,11,2016-06-15,2016-07-13,,11,other-object,Objects,2010,False,"u'\U0001F6AC',"
\u21aa,:left_arrow_curving_right:,2189,4,2016-07-19,2016-07-19,,4,arrow,Symbols,1995,False,"u'\U000021AA',"
\U0001f4ab,:dizzy:,1469,4,2015-11-14,2015-11-14,,4,emotion,Smileys & People,2010,False,"u'\U0001F4AB',"
\U0001f41f,:fish:,1580,4,2018-12-31,2010-01-01,,6,animal-marine,Animals & Nature,2010,False,"u'\U0001F41F',"
\U0001f375,:teacup_without_handle:,1706,7,2016-01-14,2017-05-29,,7,drink,Food & Drink,2010,False,"u'\U0001F375',"
\U0001f690,:minibus:,1802,1,2018-12-31,2010-01-01,,1,transport-ground,Travel & Places,2010,False,"u'\U0001F690',"
\U0001f437,:pig_face:,1531,6,2016-01-28,2017-04-14,,6,animal-mammal,Animals & Nature,2010,False,"u'\U0001F437',"
\U0001f697,:automobile:,1809,7,2016-06-25,2017-02-06,,12,transport-ground,Travel & Places,2010,False,"u'\U0001F697',"
\U0001f4a3,:bomb:,1465,7,2016-07-10,2016-07-10,,7,emotion,Smileys & People,2010,False,"u'\U0001F4A3',"
\U0001f344,:mushroom:,1645,5,2016-09-15,2017-05-20,,5,food-vegetable,Food & Drink,2010,False,"u'\U0001F344',"
\U0001f4a5,:collision:,1466,42,2016-06-12,2017-06-03,,53,emotion,Smileys & People,2010,False,"u'\U0001F4A5',"
\U0001f576,:sunglasses:,1476,2,2018-12-31,2010-01-01,,2,clothing,Smileys & People,2014,False,"u'\U0001F576',"
\U0001f427,:penguin:,1563,15,2015-12-29,2016-09-03,,18,animal-bird,Animals & Nature,2010,False,"u'\U0001F427',"
\U0001f3d7,:building_construction:,1740,1,2016-07-05,2016-07-05,,1,place-building,Travel & Places,2014,False,"u'\U0001F3D7',"
\U0001f6a4,:speedboat:,1830,1,2018-12-31,2010-01-01,,1,transport-water,Travel & Places,2010,False,"u'\U0001F6A4',"
\U0001f6b0,:potable_water:,2154,1,2018-12-31,2010-01-01,,1,transport-sign,Symbols,2010,False,"u'\U0001F6B0',"
\U0001f48e,:gem_stone:,1507,5,2016-03-27,2017-05-17,,5,clothing,Smileys & People,2010,False,"u'\U0001F48E',"
\U0001f3cd,:motorcycle:,1119,1,2018-12-31,2010-01-01,,1,person-sport,Smileys & People,2014,False,"u'\U0001F3CD',"
\U0001f38e,:Japanese_dolls:,1940,2,2016-07-24,2016-07-24,,2,event,Activities,2010,False,"u'\U0001F38E',"
\U0001f4a8,:dashing_away:,1468,5,2016-01-05,2016-07-15,,5,emotion,Smileys & People,2010,False,"u'\U0001F4A8',"
\U0001f683,:railway_car:,1788,7,2016-06-24,2016-07-18,,22,transport-ground,Travel & Places,2010,False,"u'\U0001F683',"
\U0001f3b5,:musical_note:,2000,7,2016-09-04,2017-05-15,,15,music,Objects,2010,False,"u'\U0001F3B5',"
\u26f8,:ice_skate:,1974,1,2018-12-31,2010-01-01,,1,sport,Activities,2009,False,"u'\U000026F8',"
\U0001f62d,:loudly_crying_face:,56,45,2015-08-05,2017-12-04,,81,face-negative,Smileys & People,2010,False,"u'\U0001F62D',"
\U0001f3ab,:ticket:,1948,1,2018-12-31,2010-01-01,,1,event,Activities,2010,False,"u'\U0001F3AB',"
\U0001f63a,:smiling_cat_face_with_open_mouth:,96,5,2017-03-10,2017-03-10,,5,cat-face,Smileys & People,2010,False,"u'\U0001F63A',"
\U0001f343,:leaf_fluttering_in_wind:,1620,2,2017-04-04,2017-04-04,,5,plant-other,Animals & Nature,2010,False,"u'\U0001F343',"
\U0001f35d,:spaghetti:,1680,2,2018-12-31,2010-01-01,,2,food-asian,Food & Drink,2010,False,"u'\U0001F35D',"
\U0001f432,:dragon_face:,1573,3,2018-12-31,2010-01-01,,3,animal-reptile,Animals & Nature,2010,False,"u'\U0001F432',"
\U0001f3db,:classical_building:,1739,2,2018-12-31,2010-01-01,,2,place-building,Travel & Places,2014,False,"u'\U0001F3DB',"
\U0001f3c2,:snowboarder:,972,4,2016-06-24,2017-05-23,,4,person-sport,Smileys & People,2010,False,"u'\U0001F3C2 \U0001F3FE',"
\u2639,:frowning_face:,49,11,2016-03-30,2017-06-21,,12,face-negative,Smileys & People,1995,False,"u'\U00002639',"
\U0001f3ac,:clapper_board:,2035,3,2018-12-31,2010-01-01,,7,light & video,Objects,2010,False,"u'\U0001F3AC',"
\U0001f35e,:bread:,1648,2,2017-08-05,2017-08-05,,2,food-prepared,Food & Drink,2010,False,"u'\U0001F35E',"
\u2660,:spade_suit:,1983,6,2016-01-05,2017-06-15,,22,game,Activities,1995,False,"u'\U00002660',"
\U0001f333,:deciduous_tree:,1611,1,2018-12-31,2010-01-01,,1,plant-other,Animals & Nature,2010,False,"u'\U0001F333',"
\U0001f485,:nail_polish:,1423,5,2018-12-31,2010-01-01,,5,body,Smileys & People,2010,False,"u'\U0001F485 \U0001F3FE',"
\u25aa,:black_small_square:,2335,6,2016-09-22,2017-04-28,,18,geometric,Symbols,1995,False,"u'\U000025AA',"
\U0001f6b6,:person_walking:,851,8,2017-04-16,2017-04-16,,13,person-activity,Smileys & People,2010,False,"u'\U0001F6B6 \U0001F3FF \U0000200D \U00002640 \U0000FE0F',"
\U0001f561,:six-thirty:,1874,1,2018-12-31,2010-01-01,,1,time,Travel & Places,2010,False,"u'\U0001F561',"
\U0001f5fe,:map_of_Japan:,1728,4,2016-07-05,2016-07-05,,4,place-map,Travel & Places,2010,False,"u'\U0001F5FE',"
\U0001f30d,:globe_showing_Europe-Africa:,1723,14,2015-07-10,2017-06-09,,14,place-map,Travel & Places,2010,False,"u'\U0001F30D',"
\u2195,:up-down_arrow:,2186,6,2016-08-22,2017-05-13,,6,arrow,Symbols,1995,False,"u'\U00002195',"
\U0001f6a5,:horizontal_traffic_light:,1823,2,2018-12-31,2010-01-01,,2,transport-ground,Travel & Places,2010,False,"u'\U0001F6A5',"
\u25fc,:black_medium_square:,2338,5,2015-10-03,2015-10-03,,9,geometric,Symbols,2002,False,"u'\U000025FC',"
\u270f,:pencil:,2090,2,2018-12-31,2010-01-01,,5,writing,Objects,1995,False,"u'\U0000270F',"
\U0001f632,:astonished_face:,48,13,2016-04-29,2017-08-27,,13,face-neutral,Smileys & People,2010,False,"u'\U0001F632',"
\U0001f687,:metro:,1792,2,2018-12-31,2010-01-01,,2,transport-ground,Travel & Places,2010,False,"u'\U0001F687',"
\U0001f69a,:delivery_truck:,1812,2,2018-12-31,2010-01-01,,2,transport-ground,Travel & Places,2010,False,"u'\U0001F69A',"
\U0001f600,:grinning_face:,1,271,2015-06-21,2017-11-28,,332,face-positive,Smileys & People,2012,False,"u'\U0001F600',"
